Trade #,Buy Amount (USDT),Sell Gross (USDT),Fee (0.4%),Sell After Fee,Net Profit,Total Capital (USDT),Total Capital (INR),Growth %
112,3.017675,3.06294,0.012252,3.050689,0.033013,3.24035,259.23,224.04
113,3.047852,3.09357,0.012374,3.081195,0.033344,3.273694,261.9,227.37
114,3.07833,3.124505,0.012498,3.112007,0.033677,3.30737,264.59,230.74
115,3.109114,3.15575,0.012623,3.143127,0.034014,3.341384,267.31,234.14
116,3.140205,3.187308,0.012749,3.174559,0.034354,3.375738,270.06,237.57
117,3.171607,3.219181,0.012877,3.206304,0.034697,3.410435,272.83,241.04
118,3.203323,3.251373,0.013005,3.238367,0.035044,3.44548,275.64,244.55
119,3.235356,3.283887,0.013136,3.270751,0.035395,3.480875,278.47,248.09
120,3.26771,3.316725,0.013267,3.303459,0.035749,3.516623,281.33,251.66
121,3.300387,3.349893,0.0134,3.336493,0.036106,3.552729,284.22,255.27
122,3.333391,3.383392,0.013534,3.369858,0.036467,3.589197,287.14,258.92
123,3.366725,3.417226,0.013669,3.403557,0.036832,3.626029,290.08,262.6
124,3.400392,3.451398,0.013806,3.437592,0.0372,3.663229,293.06,266.32
125,3.434396,3.485912,0.013944,3.471968,0.037572,3.700801,296.06,270.08
126,3.46874,3.520771,0.014083,3.506688,0.037948,3.738749,299.1,273.87
127,3.503427,3.555979,0.014224,3.541755,0.038327,3.777077,302.17,277.71
128,3.538461,3.591538,0.014366,3.577172,0.038711,3.815788,305.26,281.58
129,3.573846,3.627454,0.01451,3.612944,0.039098,3.854885,308.39,285.49
130,3.609585,3.663728,0.014655,3.649073,0.039489,3.894374,311.55,289.44
131,3.64568,3.700366,0.014801,3.685564,0.039884,3.934258,314.74,293.43
132,3.682137,3.737369,0.014949,3.72242,0.040283,3.974541,317.96,297.45
133,3.718959,3.774743,0.015099,3.759644,0.040685,4.015226,321.22,301.52
134,3.756148,3.81249,0.01525,3.79724,0.041092,4.056318,324.51,305.63
